,Age,Income (USD),Income Stability,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
5203,64,3371.43,1,8,1,75517.5,418.49,0,1,4.0,677.33,0,0,0,1.0,88587.42,52862.25
5204,34,2811.35,1,8,1,96105.44,349.81,0,1,3.0,844.94,0,2,0,1.0,166103.55,62468.54
5205,25,2811.35,1,14,2,264978.62,1400.04,1,1,2.0,844.94,0,1,2,1.0,356368.63,211982.9
5206,27,1335.67,1,14,1,50102.73,213.36,0,0,2.0,834.21,0,2,2,1.0,79751.81,35071.91
5207,47,1965.04,1,0,1,175804.62,497.48,1,1,3.0,834.21,0,0,1,1.0,202271.35,140643.7
5208,49,2470.83,1,6,1,30739.31,194.15,0,1,1.0,789.12,0,0,0,1.0,51084.52,21517.52
5209,18,2968.14,1,3,1,164314.73,457.11,0,1,2.0,852.08,1,0,1,1.0,215309.85,115020.31
5212,30,3053.5,1,4,0,33429.53,369.21,0,0,6.0,791.88,0,1,2,1.0,57927.61,25072.15
5213,61,3524.4,1,14,1,38952.69,212.12,0,1,3.0,790.38,0,2,2,1.0,62675.4,29214.52
5214,18,3040.26,1,14,2,44843.16,241.57,0,0,1.0,663.04,1,0,2,1.0,53379.8,29148.05
5217,25,3523.58,1,2,1,114581.11,327.12,0,1,2.0,698.95,0,2,2,1.0,161222.73,74477.72
5218,65,1235.29,0,2,1,36413.97,235.26,0,0,2.0,753.96,1,2,0,1.0,55590.73,25489.78
5220,41,1854.51,1,2,1,90276.14,448.43,0,1,1.0,879.03,0,2,0,1.0,115412.83,58679.49
5221,24,1768.13,1,8,1,76897.12,365.68,1,0,2.0,879.03,1,0,0,1.0,105471.64,49983.13
5224,18,921.48,1,8,1,20165.18,106.26,0,1,3.0,738.89,0,1,0,1.0,22577.23,16132.14
5225,35,1319.87,1,0,1,93188.67,539.94,0,0,3.0,738.89,0,2,2,1.0,118102.23,65232.07
5227,35,6135.03,1,4,2,76795.03,314.83,1,0,2.0,800.67,0,0,0,1.0,138980.13,61436.02
5228,49,1257.71,1,0,0,104142.86,446.49,1,1,3.0,674.64,1,0,2,1.0,133574.01,72900.0
5229,24,1474.18,1,0,1,255881.52,892.33,0,1,3.0,830.09,0,0,1,1.0,432468.51,204705.22
5230,50,1553.48,1,8,1,26135.8,137.4,0,1,1.0,696.34,0,0,0,1.0,39879.27,18295.06
5231,23,3757.42,1,8,1,241855.1,674.22,0,1,2.0,850.34,0,2,1,1.0,421439.19,193484.08
5232,55,3657.4,1,8,1,153792.83,481.08,0,1,2.0,867.11,1,0,0,1.0,217627.71,107654.98
5233,25,2137.73,1,8,1,39486.3,412.17,0,1,2.0,686.42,0,2,1,1.0,73538.41,27640.41
5234,39,1750.37,1,8,1,68442.08,269.88,1,0,3.0,686.42,1,2,2,1.0,98814.4,47909.46
5235,33,2027.28,1,14,1,61972.18,469.96,0,1,1.0,675.87,0,1,0,1.0,84131.63,40281.92
5241,18,3326.93,1,12,2,75179.76,743.17,0,1,3.0,845.12,0,2,2,1.0,84636.53,56384.82
5242,64,2536.23,1,14,0,178841.66,492.4,1,1,2.0,748.81,0,1,1,1.0,218957.74,116247.08
5245,47,2557.11,1,3,1,149462.41,395.91,0,0,4.0,670.62,0,0,1,1.0,164661.57,104623.69
5247,22,1220.4,1,8,1,168873.08,453.25,0,1,1.0,818.65,0,0,1,1.0,291718.07,8837.39
5248,48,1220.4,1,8,0,13595.99,183.76,0,1,3.0,656.18,0,1,1,1.0,19027.14,8837.39
5250,45,3410.01,1,14,1,190553.83,798.86,0,1,2.0,757.47,0,2,0,1.0,307136.14,142915.37
5251,42,2250.83,0,14,1,67897.63,348.01,0,1,2.0,820.55,0,0,2,1.0,124952.02,54318.1
5253,18,4756.45,1,3,2,55005.84,495.66,1,0,1.0,801.27,0,1,0,1.0,74141.08,38504.09
5254,46,2642.08,1,3,1,64068.83,320.29,0,1,2.0,692.28,0,0,0,1.0,102215.55,41644.74
5258,52,2902.49,1,8,0,39436.97,181.91,0,0,3.0,712.37,0,0,0,1.0,53545.34,27605.88
5260,26,3354.7,1,8,1,148575.94,453.63,0,1,2.0,808.62,0,2,0,1.0,199663.8,111431.96
5261,28,2644.27,1,8,1,18775.61,195.92,1,1,3.0,747.31,0,2,0,1.0,33823.51,13142.93
5263,42,2338.25,1,3,1,156399.0,572.03,0,1,4.0,771.09,0,0,2,1.0,174802.77,117299.25
5264,42,4312.8,1,4,1,145331.65,548.56,0,1,3.0,782.27,1,1,1,1.0,252445.4,101732.15
5265,61,2797.94,1,8,0,34169.98,163.7,0,0,1.0,783.08,0,2,1,1.0,39041.28,23918.99
5266,18,2045.52,1,6,0,31632.01,245.68,0,0,2.0,705.04,1,0,0,1.0,49078.82,22142.41
5267,29,2045.52,0,14,1,113412.12,357.57,0,1,1.0,837.83,0,0,1,1.0,138599.76,90729.7
5270,62,3353.14,1,3,1,249461.91,706.39,0,0,2.0,784.67,1,0,1,1.0,423952.63,187096.43
5271,18,3135.93,1,6,1,37993.31,220.26,0,1,2.0,801.99,0,0,0,1.0,60019.14,30394.65
5272,62,3135.93,1,8,0,257081.74,628.58,0,0,4.0,687.05,0,0,2,1.0,370283.91,179957.22
5273,22,1098.07,1,3,1,70969.04,448.82,0,0,1.0,784.57,0,2,2,1.0,100576.27,49678.33
5275,49,2454.63,1,14,1,114956.88,539.19,1,1,2.0,727.58,0,1,1,1.0,127020.04,80469.82
5277,18,1539.28,1,6,1,33947.57,248.64,0,1,2.0,718.2,0,2,1,1.0,56412.79,23763.3
5278,62,4460.45,1,11,1,17679.21,182.16,1,1,3.0,659.95,0,2,1,1.0,21666.83,11491.49
5279,62,4564.84,1,0,2,172831.8,651.65,0,1,3.0,765.49,1,1,2,1.0,271427.79,120982.26
5280,60,1022.6,1,11,1,19689.05,139.3,0,1,2.0,701.98,1,2,0,1.0,33549.99,13782.34
5282,43,2417.66,1,14,1,121581.45,665.21,0,0,2.0,784.99,0,0,0,1.0,189330.75,97265.16
5283,18,2090.8,1,3,1,31397.33,218.03,0,1,1.0,820.69,1,0,2,1.0,38435.96,21978.13
5284,26,2095.57,1,2,1,44338.67,353.22,0,1,1.0,675.64,0,1,2,1.0,80225.05,31037.07
5285,35,1747.71,1,14,1,68564.05,404.52,0,1,1.0,684.23,1,0,0,1.0,80369.35,44566.63
5287,30,3135.78,1,6,1,205637.46,648.43,0,1,3.0,734.04,0,2,0,1.0,378317.08,143946.22
5290,18,2693.53,1,3,1,116236.38,830.15,0,0,2.0,715.38,0,2,0,1.0,138820.94,75553.65
5291,56,1328.99,1,3,1,27628.01,131.43,0,1,4.0,710.39,1,0,1,1.0,35576.53,17958.21
5292,39,2614.89,1,2,1,78358.36,284.66,0,1,2.0,832.55,0,0,0,1.0,148478.02,54850.85
5293,62,1372.89,1,8,1,27881.34,199.83,0,1,2.0,664.72,0,0,1,1.0,39774.88,18122.87
5294,45,2947.59,1,4,1,45147.51,235.65,1,1,2.0,720.53,0,0,0,1.0,73665.95,29345.88
5295,28,2947.59,1,0,2,213719.23,818.09,0,1,3.0,867.13,0,0,0,1.0,383091.39,160289.42
5297,46,1534.96,1,14,1,53719.36,367.29,1,1,2.0,760.45,0,0,1,1.0,74922.04,37603.55
5299,22,1271.57,1,14,1,177025.83,587.94,0,0,2.0,667.45,1,0,0,1.0,282763.9,123918.08
5300,48,3427.44,1,14,1,174870.95,523.97,0,1,2.0,864.01,0,1,0,1.0,233344.31,131153.21
5301,56,744.54,1,10,0,28142.36,214.26,1,1,2.0,690.56,0,0,0,1.0,43301.25,18292.53
5302,39,2052.06,1,3,1,113156.01,347.5,0,1,2.0,750.0,0,0,1,1.0,199802.35,79209.21
5303,39,2379.09,1,3,1,242806.63,599.58,1,1,3.0,789.28,0,1,0,1.0,269365.99,182104.97
5304,61,2379.09,1,6,1,34746.57,185.17,1,1,3.0,810.7,1,1,0,1.0,52536.26,27797.26
5305,31,2158.65,1,0,1,127777.02,458.74,0,0,2.0,716.38,0,0,0,1.0,204668.6,89443.91
5307,44,2605.67,1,4,1,80078.22,300.79,0,1,2.0,787.6,0,2,1,1.0,151711.85,64062.58
5308,43,3214.61,1,0,1,69139.59,523.0,1,1,3.0,787.6,1,2,0,1.0,114767.37,48397.71
5312,61,2798.94,1,6,1,45730.46,226.03,1,1,3.0,651.56,0,1,1,1.0,72306.57,29724.8
5313,63,3035.84,1,3,1,131829.07,728.32,0,0,3.0,785.16,0,0,1,1.0,188352.36,92280.35
5314,30,3420.53,1,8,1,75703.03,748.1,1,1,3.0,816.74,0,0,2,1.0,92704.99,52992.12
5317,51,2184.51,1,3,1,93803.48,446.81,0,1,2.0,826.95,0,2,2,1.0,135427.07,70352.61
5319,55,1553.68,1,3,1,117426.61,541.94,1,1,3.0,675.22,0,1,1,1.0,143063.32,82198.63
5320,22,4034.43,1,16,1,38814.69,184.7,0,0,1.0,675.22,0,0,1,1.0,50676.36,28268.91
5321,28,4034.43,1,10,0,40384.16,192.63,1,1,2.0,759.3,0,2,2,1.0,67896.23,28268.91
5322,48,1362.02,1,14,1,39272.22,201.6,1,0,2.0,732.88,0,1,1,1.0,47096.1,25526.94
5325,18,2400.71,1,14,1,114579.48,563.94,0,1,2.0,804.75,1,1,1,1.0,135230.92,85934.61
5327,61,1147.39,1,16,1,40982.31,230.76,0,0,3.0,694.13,0,2,2,1.0,49241.31,26638.5
5329,41,1685.49,1,6,1,76315.21,381.41,0,1,2.0,704.95,0,0,1,1.0,113229.83,53420.65
5330,40,3495.43,1,8,0,55789.14,317.1,1,0,2.0,858.12,0,2,0,1.0,83815.04,39052.4
5332,55,1344.05,1,14,1,109786.71,306.71,0,1,2.0,704.01,0,0,0,1.0,183561.57,76850.7
5333,58,4471.3,1,14,1,105181.53,729.22,1,0,2.0,827.49,0,0,2,1.0,179208.95,78886.15
5334,31,4471.3,1,10,1,32874.33,166.96,1,1,1.0,659.54,0,2,1,1.0,40026.99,23012.03
5335,23,1906.59,1,8,1,50576.57,259.99,0,1,2.0,692.47,0,2,1,1.0,79413.34,35403.6
5336,57,1890.27,1,14,1,96102.79,269.53,1,0,2.0,808.84,0,0,1,1.0,133852.99,76882.23
5337,21,1890.27,1,3,2,59402.86,268.57,1,1,3.0,859.6,0,0,1,1.0,100544.05,41582.0
5338,24,2366.61,1,12,0,79442.46,327.18,0,1,1.0,853.34,0,1,0,1.0,122056.42,55609.72
5339,47,2379.21,1,12,1,38244.24,309.54,1,0,3.0,699.77,0,2,1,1.0,45592.74,24858.76
5340,54,2379.21,1,10,1,22414.41,239.99,0,0,3.0,653.67,0,0,1,1.0,27623.18,14569.37
5341,18,2379.21,1,14,1,73271.74,380.57,0,1,4.0,682.04,1,0,0,1.0,99339.9,47626.63
5342,45,2379.21,1,8,1,25101.6,121.02,1,1,4.0,660.88,0,2,0,1.0,36385.5,16316.04
5343,62,3440.18,1,6,2,88143.53,365.12,0,1,2.0,717.75,0,0,2,1.0,116725.08,61700.47
5344,48,3190.2,1,8,1,128609.32,579.0,0,1,2.0,745.85,0,0,2,1.0,210009.33,90026.52
5345,46,1908.55,1,12,0,59419.4,309.48,1,1,3.0,807.13,0,1,2,1.0,78408.6,47535.52
5346,57,4270.42,1,12,1,99393.56,385.52,0,0,2.0,850.53,0,2,0,1.0,143802.06,74545.17
5348,32,1749.65,1,15,1,49807.64,243.97,0,1,2.0,814.09,0,2,1,1.0,60090.06,39846.11
5350,43,2275.28,1,8,1,103179.23,337.22,0,0,1.0,808.47,1,2,0,1.0,182368.83,72225.46
5352,55,4219.64,1,8,0,63667.33,367.95,0,1,2.0,849.2,0,0,1,1.0,98105.07,44567.13
5354,18,2145.55,1,8,1,86251.53,467.75,1,0,4.0,677.27,0,2,0,1.0,143122.9,56063.49
5355,64,2562.32,1,10,1,40234.69,207.24,1,1,2.0,870.65,0,0,2,1.0,59628.34,32187.75
5356,50,980.38,1,8,1,58827.57,213.33,0,1,2.0,870.65,0,2,1,1.0,75741.12,47062.06
5357,58,2251.36,1,8,1,32286.56,439.5,0,1,2.0,667.28,0,0,2,1.0,54994.44,20986.26
5362,41,2085.95,1,10,1,85478.42,419.17,0,1,5.0,826.0,1,1,1,1.0,95514.84,59834.89
5363,31,1869.37,1,10,1,197202.16,523.87,1,1,1.0,691.69,0,2,2,1.0,272561.75,128181.4
5364,18,1038.87,1,14,0,76026.64,429.76,0,1,3.0,824.02,0,0,0,1.0,105668.27,70415.45
5365,48,1705.09,1,14,1,100593.5,459.83,0,1,3.0,763.74,0,0,1,1.0,130892.67,70415.45
5366,30,2484.17,1,0,1,36521.08,289.32,0,0,3.0,817.74,0,1,0,1.0,63041.38,27390.81
5368,18,1452.95,1,4,1,170824.57,544.37,1,1,3.0,658.81,1,2,2,1.0,262484.82,119577.2
5372,34,2782.17,1,14,1,40318.98,300.52,1,0,3.0,710.68,1,1,2,1.0,44519.89,26207.34
5373,55,1350.38,1,14,1,260821.42,878.7,1,0,3.0,831.03,0,0,2,1.0,341098.12,208657.14
5375,41,951.94,1,3,2,74486.06,640.86,1,1,1.0,833.45,0,0,0,1.0,133657.31,52140.24
5380,62,2475.6,1,6,1,20651.75,71.05,0,1,2.0,813.95,0,0,2,1.0,36109.62,14456.22
5381,40,2089.91,1,10,0,63682.41,181.42,1,1,2.0,751.15,0,0,2,1.0,109855.25,47761.81
5382,65,990.11,0,8,1,19727.68,209.41,1,1,2.0,849.55,0,0,0,1.0,34003.34,15782.14
5384,49,1685.38,1,12,1,13540.19,106.0,0,1,3.0,699.22,0,1,0,1.0,21625.23,8801.12
5386,56,3188.22,0,3,1,108332.07,358.66,1,1,3.0,731.81,0,2,1,1.0,123578.39,70415.85
5388,62,4801.44,1,8,1,100385.05,769.94,1,1,2.0,803.27,1,1,2,1.0,168737.88,75288.79
5389,23,1820.57,1,14,1,79103.1,563.85,1,1,2.0,674.47,0,1,0,1.0,115839.22,51417.02
5390,28,1374.35,1,14,0,101151.0,373.8,1,1,5.0,662.72,0,1,1,1.0,189233.51,65748.15
5391,61,4193.34,1,14,1,180121.2,554.25,0,0,2.0,827.48,0,1,0,1.0,296939.52,126084.84
5392,23,4193.34,1,3,1,67635.29,458.16,1,1,3.0,669.76,0,1,1,1.0,85758.71,43962.94
5394,65,2958.76,0,3,1,36041.47,353.02,0,1,3.0,854.95,0,0,1,1.0,49808.79,27031.1
5395,20,822.24,1,3,1,80113.23,368.93,1,1,3.0,753.4,0,0,1,1.0,134168.68,64090.58
5396,18,822.24,1,14,1,159382.24,470.47,1,0,3.0,792.14,0,1,1,1.0,202214.25,111567.57
5398,18,2781.29,1,14,0,228606.42,836.45,0,0,2.0,722.26,0,0,1,1.0,318104.55,148594.17
5399,18,2441.83,1,8,1,132940.41,421.22,1,1,2.0,742.8,0,1,2,1.0,236363.68,93058.29
5400,38,2441.83,1,11,1,79353.49,407.43,0,1,3.0,776.25,0,2,2,1.0,111689.01,63482.79
5401,18,1000.44,1,4,1,242263.07,594.91,0,0,2.0,707.79,0,0,0,1.0,310454.12,169584.15
5402,60,1000.44,0,4,1,38843.92,153.72,0,1,2.0,786.26,0,0,2,1.0,43645.16,27190.74
5404,30,1685.13,1,4,2,160960.66,504.69,0,1,3.0,663.98,0,2,2,1.0,247814.01,104624.43
5407,53,1638.02,1,14,1,155470.54,405.04,0,0,2.0,687.33,0,0,2,1.0,262756.03,108829.38
5408,38,3078.83,1,14,1,71499.45,723.1,1,1,2.0,751.98,0,1,0,1.0,107033.19,50049.62
5409,53,2515.78,1,3,1,223674.33,902.14,0,0,1.0,815.63,0,1,0,1.0,270240.82,178939.46
5410,65,577.23,0,6,1,65346.11,312.42,0,0,2.0,855.09,0,0,0,1.0,100356.73,49009.58
5412,61,1894.99,1,14,0,30648.92,276.69,0,1,1.0,745.67,0,1,2,1.0,36182.33,21454.24
5413,29,1894.99,1,8,1,104634.76,537.45,0,0,3.0,730.52,0,2,2,1.0,158643.93,73244.33
5414,21,1411.69,1,3,1,122216.13,411.08,1,1,3.0,745.57,0,1,2,1.0,210041.34,79440.48
5415,23,3778.8,1,2,2,72517.63,588.01,1,1,2.0,651.13,0,1,1,1.0,134941.79,50762.34
5416,28,2077.34,1,4,1,17643.47,197.0,1,1,2.0,682.38,0,0,2,1.0,24689.74,11468.26
5417,30,1852.56,1,8,1,34751.42,154.53,0,1,2.0,724.35,0,2,1,1.0,46749.11,22588.42
5419,54,2703.63,1,14,1,231932.88,633.82,0,0,2.0,820.18,0,0,1,1.0,364346.48,185546.3
5420,29,1925.69,1,14,1,32734.5,126.24,0,1,2.0,770.61,0,0,2,1.0,58029.62,22914.15
5421,48,1925.63,1,8,1,124889.8,363.2,0,1,2.0,859.9,0,1,0,1.0,159603.81,99911.84
5422,53,2266.01,1,4,1,90259.47,366.52,1,0,2.0,778.65,1,2,1,1.0,124908.58,63181.63
5423,60,2199.89,0,10,0,156070.44,543.15,1,1,2.0,828.62,1,0,2,1.0,181818.65,109249.31
5425,18,1894.28,1,14,1,135586.5,399.7,1,1,2.0,767.12,0,1,1,1.0,229010.23,101689.88
5427,18,2404.48,1,14,0,48293.08,413.05,0,1,1.0,734.92,1,2,2,1.0,84147.06,31390.5
5428,36,4736.72,1,3,2,77645.81,453.98,1,1,5.0,732.45,0,1,0,1.0,102642.71,50469.78
5429,61,3082.83,1,14,1,97815.5,437.01,0,1,4.0,659.38,1,1,0,1.0,120342.57,68470.85
5431,64,2301.16,1,3,1,51962.25,341.6,0,0,2.0,692.41,0,0,0,1.0,79962.72,33775.46
5432,57,2301.16,1,8,2,62384.0,352.52,0,1,2.0,840.07,0,2,1,1.0,73186.36,43668.8
5436,63,1575.8,0,8,0,262045.03,775.72,0,1,2.0,833.35,0,2,1,1.0,396329.9,183431.52
5437,47,4874.71,1,8,1,131420.1,547.19,1,1,5.0,742.29,1,1,0,1.0,242319.13,85423.06
5438,59,4874.71,1,8,1,41529.41,244.61,0,0,2.0,742.29,0,0,1,1.0,53809.33,29070.59
5439,48,4897.26,1,0,1,57026.08,468.33,0,1,3.0,811.84,0,0,1,1.0,95767.45,42769.56
5440,24,1624.02,1,13,0,39846.71,200.21,1,1,2.0,757.34,1,2,1,1.0,45161.94,29885.03
5441,61,1624.02,1,0,0,100697.03,575.38,0,1,1.0,822.23,0,0,2,1.0,177190.92,70487.92
5442,65,1942.61,0,4,0,79022.42,284.16,0,0,2.0,858.22,0,0,1,1.0,102125.5,55315.69
5443,39,2829.87,1,4,0,78394.88,366.55,1,1,2.0,753.95,0,0,2,1.0,90901.7,62715.9
5445,18,5447.11,1,4,1,140672.43,644.78,0,1,2.0,879.02,0,1,0,1.0,238650.59,98470.7
5448,60,1290.25,1,3,1,129977.79,359.96,0,1,1.0,700.25,0,0,1,1.0,210818.89,90984.45
5450,61,1823.63,1,14,1,110790.76,409.38,1,1,2.0,646.44,0,2,1,1.0,181451.22,88632.61
5452,30,3336.57,1,10,1,105379.53,520.11,1,1,3.0,667.91,0,0,0,1.0,168834.25,73765.67
5453,53,1719.91,1,4,1,33987.02,193.96,1,1,3.0,812.05,0,1,2,1.0,38014.68,25490.26
5454,31,1719.91,1,8,0,85347.05,436.11,1,0,2.0,741.57,0,1,2,1.0,137443.45,59742.94
5455,18,1870.2,1,14,1,140938.1,546.17,0,1,2.0,790.81,0,0,0,1.0,237371.78,105703.58
5456,38,2217.24,1,4,0,135604.75,789.53,0,1,3.0,660.25,0,0,1,1.0,152117.53,88143.09
5457,27,2771.1,1,16,1,200385.68,600.98,0,1,2.0,792.74,0,2,0,1.0,326523.0,150289.26
5459,56,3523.97,1,6,2,200729.31,515.81,0,1,1.0,765.1,0,0,2,1.0,287151.85,160583.45
5460,63,3203.45,1,10,1,134923.6,379.58,0,1,1.0,765.83,0,0,1,1.0,186536.84,107938.88
5463,63,3627.5,1,3,1,28026.05,133.13,0,1,3.0,695.25,0,2,2,1.0,46935.89,19618.23
5464,46,3627.5,1,0,1,203175.86,882.38,0,1,3.0,771.07,0,0,0,1.0,304616.77,142223.1
5466,34,3574.37,1,10,1,159104.46,558.32,0,1,3.0,778.38,0,2,2,1.0,301357.74,111373.12
5467,18,4547.5,1,12,2,132226.68,669.95,0,1,4.0,837.16,0,2,2,1.0,162439.56,105781.34
5468,28,1998.46,1,12,2,33823.6,341.71,1,1,1.0,779.69,0,1,0,1.0,38440.23,25367.7
5469,18,1998.46,1,3,0,94780.62,395.23,1,1,1.0,676.39,0,1,1,1.0,175884.99,61607.4
5471,52,3342.02,1,11,1,288415.79,982.07,0,1,2.0,824.14,0,1,1,1.0,358497.58,230732.63
5473,33,1912.5,1,11,0,161192.48,485.95,1,0,3.0,782.55,0,0,1,1.0,298941.98,128953.98
5477,42,2741.08,1,10,0,72309.17,764.21,1,1,2.0,771.22,0,0,2,1.0,109226.93,57847.34
5478,26,1597.77,1,0,1,75331.35,360.03,1,1,3.0,693.03,1,2,1,1.0,109541.18,52731.94
5480,63,2402.49,1,8,1,116123.67,319.64,0,1,3.0,672.24,0,0,2,1.0,176291.18,75480.39
5481,21,1411.68,1,8,0,27974.96,196.96,1,1,4.0,764.7,0,0,1,1.0,36562.92,22379.97
5482,18,2180.68,1,14,1,128488.61,638.89,1,1,4.0,777.92,0,1,1,1.0,221417.6,96366.46
5483,37,6823.08,1,10,0,214438.12,866.74,1,0,2.0,771.02,0,1,2,1.0,329511.64,84265.44
5484,56,3311.62,1,8,0,129639.14,440.73,0,0,4.0,675.27,1,1,0,1.0,176384.43,84265.44
5486,22,2973.85,1,0,1,190461.18,869.47,0,1,2.0,757.29,1,2,2,1.0,251076.98,152368.94
5487,60,1408.79,0,1,1,108122.33,352.78,0,1,2.0,831.5,0,1,0,1.0,203127.84,75685.63
5488,63,3164.19,1,1,1,122845.04,375.01,0,1,4.0,831.5,1,1,1,1.0,165819.13,85991.53
5490,46,2774.18,1,16,1,26292.08,135.15,0,0,2.0,682.31,0,1,1,1.0,39997.9,17089.85
5492,18,2154.57,1,3,1,75740.86,348.58,1,1,2.0,683.8,0,0,0,1.0,104933.26,49231.56
5493,21,3147.72,1,8,1,110803.44,336.86,0,0,3.0,797.2,0,2,0,1.0,198390.82,83102.58
5494,18,1301.48,1,14,1,86012.0,508.42,0,0,2.0,653.12,0,2,0,1.0,136436.69,55907.8
5495,25,1905.49,1,8,1,169361.75,668.12,0,0,2.0,660.87,1,2,2,1.0,255222.04,110085.14
5500,41,1912.93,1,0,1,74008.59,404.69,0,1,2.0,707.52,0,1,1,1.0,108326.34,51806.01
5501,51,2474.89,1,6,1,127370.13,300.58,1,0,2.0,721.45,0,1,2,1.0,203627.54,89159.09
5503,65,3491.5,0,14,1,73445.44,334.26,0,0,2.0,691.35,0,1,1,1.0,96675.84,47739.54
5504,64,3491.5,0,14,1,69566.61,329.73,0,0,2.0,799.53,1,0,2,1.0,128541.54,55653.29
5505,29,1838.29,1,14,1,36740.96,435.71,0,1,1.0,675.46,1,0,2,1.0,64154.06,25718.67
5506,21,1849.1,1,3,1,23312.21,261.39,0,0,1.0,759.38,1,1,2,1.0,28856.38,16318.55
5510,59,2182.18,1,8,1,54229.35,444.41,0,1,3.0,700.17,0,0,1,1.0,88686.23,37960.54
5512,52,1030.46,1,11,1,40529.4,263.45,0,1,2.0,801.41,0,2,1,1.0,67775.39,76643.29
5513,19,2764.4,1,8,0,109490.42,547.03,1,1,1.0,801.41,0,1,1,1.0,122358.8,76643.29
5514,61,1951.31,1,3,1,135091.44,551.62,0,1,3.0,801.41,0,1,2,1.0,230538.58,101318.58
5515,20,1951.31,1,10,1,50828.65,226.63,0,0,3.0,726.52,0,1,1,1.0,81581.99,35580.06
5516,25,2622.22,1,12,1,148123.09,520.56,0,1,2.0,851.84,1,0,2,1.0,206455.99,111092.32
5517,51,923.04,1,8,1,92988.09,296.98,0,1,2.0,738.69,0,2,2,1.0,162123.16,60442.26
5518,52,2167.24,1,10,1,74319.15,374.03,1,1,2.0,715.6,0,1,0,1.0,115917.0,48307.45
5519,50,2060.54,1,3,2,12380.21,155.66,0,1,3.0,658.81,0,0,2,1.0,20292.9,8047.14
5520,46,2060.54,1,3,1,9578.03,39.61,0,0,1.0,757.86,0,0,1,1.0,11651.38,6704.62
5522,55,1705.37,1,3,1,44311.38,206.98,0,0,3.0,758.91,0,1,0,1.0,82173.94,35449.1
5523,18,3117.76,1,3,2,170671.65,572.97,1,0,2.0,724.6,0,1,2,1.0,299674.39,110936.57
5524,60,1840.16,1,3,0,133038.94,394.06,0,0,3.0,707.24,0,2,1,1.0,243195.31,93127.26
5525,58,3977.19,1,14,1,95064.32,445.39,1,0,1.0,685.39,0,2,1,1.0,110252.74,66545.02
5528,55,1198.97,1,3,1,42719.98,220.45,0,0,3.0,659.32,0,1,0,1.0,74124.28,27767.99
5530,60,2197.21,1,16,1,166244.55,602.84,1,0,2.0,715.43,0,2,2,1.0,270009.32,108058.96
5532,53,1329.38,1,14,1,25782.13,121.22,0,1,3.0,696.56,0,1,1,1.0,41995.61,16758.38
5533,38,1376.96,1,3,1,48098.26,229.87,0,0,2.0,759.51,1,0,1,1.0,58698.18,31263.87
5534,18,1616.96,1,13,1,38405.66,191.24,0,1,3.0,759.51,0,2,2,1.0,60678.08,28804.25
5539,62,2106.39,1,3,1,74389.72,284.56,0,1,2.0,799.96,1,0,2,1.0,102710.26,59511.78
5543,28,1932.99,1,11,0,172452.62,741.59,1,1,3.0,767.24,1,2,1,1.0,301043.12,137962.1
5545,26,3817.21,1,8,0,20529.46,99.98,0,1,2.0,685.42,1,0,0,1.0,38286.29,13344.15
5546,22,3817.21,1,4,1,174743.92,748.42,0,1,2.0,705.7,1,0,1,1.0,255114.76,122320.74
5547,45,3002.13,1,12,1,42092.79,206.77,0,1,2.0,705.7,0,2,1,1.0,59785.5,27360.31
5549,56,2603.22,1,8,1,36360.45,203.57,1,1,4.0,728.41,0,0,2,1.0,63258.91,23634.29
5552,48,2430.16,1,11,1,64735.65,260.58,0,1,2.0,773.47,0,0,2,1.0,110271.33,45314.96
5554,54,1520.46,1,6,1,54412.81,365.1,1,1,1.0,725.69,0,0,2,1.0,98366.03,35368.33
5556,18,1717.69,1,2,0,80456.84,403.18,0,0,3.0,697.73,0,0,0,1.0,111191.58,56319.79
5560,32,1162.94,1,8,0,76249.21,380.93,0,1,1.0,735.81,0,1,2,1.0,130616.0,53374.45
5561,24,4179.87,1,8,2,119620.91,496.29,0,1,2.0,845.97,0,2,2,1.0,140343.72,95696.73
5562,64,9722.43,1,10,2,178194.36,503.39,1,0,3.0,822.22,0,2,0,1.0,219148.92,124736.05
5563,26,2122.9,1,14,1,38622.18,261.15,0,1,3.0,825.42,1,2,1,1.0,72356.05,28966.64
5565,18,1979.83,1,14,0,35509.02,295.75,1,1,6.0,761.36,0,0,1,1.0,50958.08,28407.22
5566,62,1537.72,1,14,1,42141.47,223.96,1,0,3.0,719.14,0,0,2,1.0,76406.86,29499.03
5569,56,2759.79,1,8,1,91559.77,516.64,1,1,2.0,830.03,1,2,2,1.0,157248.02,68669.83
5570,64,4908.41,1,15,2,74963.49,552.88,0,1,3.0,873.47,0,2,2,1.0,97568.88,59970.79
5571,48,1699.82,1,15,1,48609.87,374.39,0,1,2.0,806.37,0,0,0,1.0,61043.4,34026.91
5573,60,5461.62,1,5,1,99909.48,266.61,1,0,4.0,744.53,0,2,1,1.0,119375.69,64941.16
5574,58,2476.09,1,3,1,31754.31,155.6,0,1,2.0,745.34,0,1,0,1.0,58649.29,22228.02
5575,22,938.12,1,8,1,43503.63,346.93,0,1,2.0,683.09,0,1,1,1.0,50224.61,30452.54
